Date	Device	Signal
Wed Jul  1 11:21:31 2015	GX15	-92
Wed Jul  1 11:21:52 2015	GX15	-89
Wed Jul  1 11:22:02 2015	GX15	-89
Wed Jul  1 11:22:02 2015	GX15	-85
Wed Jul  1 11:22:02 2015	GX15	-86
Wed Jul  1 11:22:23 2015	GX15	-90
Wed Jul  1 11:22:23 2015	GX15	-91
Wed Jul  1 11:22:23 2015	GX15	-85
Wed Jul  1 11:22:23 2015	GX15	-90
Wed Jul  1 11:22:44 2015	GX15	-89
Wed Jul  1 11:22:44 2015	GX15	-90
Wed Jul  1 11:22:44 2015	GX15	-86
Wed Jul  1 11:22:55 2015	GX15	-90
Wed Jul  1 11:23:05 2015	S5610	-90
Wed Jul  1 11:23:05 2015	GX15	-90
Wed Jul  1 11:23:16 2015	GX15	-86
Wed Jul  1 11:23:16 2015	GX15	-90
Wed Jul  1 11:23:26 2015	GX15	-87
Wed Jul  1 11:23:26 2015	GX15	-88
Wed Jul  1 11:23:26 2015	GX15	-87
Wed Jul  1 11:23:37 2015	GX15	-85
Wed Jul  1 11:23:37 2015	GX15	-88
Wed Jul  1 11:23:58 2015	GX15	-91
Wed Jul  1 11:23:58 2015	GX15	-89
Wed Jul  1 11:24:19 2015	SEC02GJ54SDV7M	-88
Wed Jul  1 11:24:19 2015	GX15	-87
Wed Jul  1 11:24:19 2015	GX15	-83
Wed Jul  1 11:24:19 2015	GX15	-85
Wed Jul  1 11:24:19 2015	GX15	-93
Wed Jul  1 11:24:50 2015	GX15	-92
Wed Jul  1 11:24:50 2015	GX15	-86
Wed Jul  1 11:24:50 2015	GX15	-89
Wed Jul  1 11:25:01 2015	GX15	-90
Wed Jul  1 11:25:01 2015	GX15	-85
Wed Jul  1 11:25:11 2015	SEC02GJ54SDV7M	-91
Wed Jul  1 11:25:11 2015	GX15	-91
Wed Jul  1 11:25:11 2015	GX15	-85
Wed Jul  1 11:25:11 2015	SEC02GJ54SDV7M	-92
Wed Jul  1 11:25:32 2015	S5610	-90
Wed Jul  1 11:26:25 2015	SEC02GJ54SDV7M	-88
Wed Jul  1 11:26:56 2015	GX15	-85
Wed Jul  1 11:27:28 2015	GX15	-83
Wed Jul  1 11:27:28 2015	GX15	-84
Wed Jul  1 11:27:28 2015	GX15	-85
Wed Jul  1 11:27:28 2015	GX15	-84
Wed Jul  1 11:27:28 2015	GX15	-85
Wed Jul  1 11:27:28 2015	GX15	-89
Wed Jul  1 11:27:28 2015	GX15	-87
Wed Jul  1 11:27:49 2015	GX15	-86
Wed Jul  1 11:27:49 2015	-87
Wed Jul  1 11:28:10 2015	S5610	-90
Wed Jul  1 11:28:10 2015	S5610	-91
Wed Jul  1 11:28:21 2015	S5610	-89
Wed Jul  1 11:29:55 2015	S5610	-85
Wed Jul  1 11:29:55 2015	GX15	-80
