Date	Device	Signal
Wed Jul  1 10:24:07 2015	Nokia108	-72
Wed Jul  1 10:24:07 2015	-79
Wed Jul  1 10:24:38 2015	edc	-75
Wed Jul  1 10:24:48 2015	edc	-74
Wed Jul  1 10:24:59 2015	Nokia108	-67
Wed Jul  1 10:25:19 2015	Nokia108	-69
Wed Jul  1 10:25:30 2015	Nokia108	-64
Wed Jul  1 10:25:40 2015	Nokia108	-69
Wed Jul  1 10:26:01 2015	edc	-74
Wed Jul  1 10:26:11 2015	edc	-73
Wed Jul  1 10:26:32 2015	Nokia108	-65
Wed Jul  1 10:26:32 2015	edc	-75
Wed Jul  1 10:27:03 2015	Nokia108	-64
Wed Jul  1 10:27:13 2015	Nokia108	-62
Wed Jul  1 10:27:29 2015	S5610	-79
Wed Jul  1 10:27:29 2015	-80
Wed Jul  1 10:27:29 2015	Nokia108	-71
Wed Jul  1 10:27:39 2015	Nokia108	-73
Wed Jul  1 10:27:39 2015	edc	-78
Wed Jul  1 10:27:55 2015	Nokia108	-77
Wed Jul  1 10:27:55 2015	S5610	-80
Wed Jul  1 10:27:55 2015	edc	-74
Wed Jul  1 10:28:06 2015	Nokia108	-68
Wed Jul  1 10:28:06 2015	edc	-71
Wed Jul  1 10:28:06 2015	S5610	-76
Wed Jul  1 10:28:06 2015	-78
Wed Jul  1 10:28:16 2015	S5610	-72
Wed Jul  1 10:28:16 2015	Nokia108	-68
Wed Jul  1 10:28:26 2015	Nokia108	-66
Wed Jul  1 10:28:26 2015	S5610	-71
Wed Jul  1 10:28:47 2015	S5610	-75
Wed Jul  1 10:28:57 2015	edc	-80
Wed Jul  1 10:28:57 2015	Nokia108	-71
Wed Jul  1 10:29:08 2015	Nokia108	-70
Wed Jul  1 10:29:08 2015	edc	-72
Wed Jul  1 10:29:18 2015	Nokia108	-68
Wed Jul  1 10:29:18 2015	S5610	-76
Wed Jul  1 10:29:28 2015	S5610	-72
Wed Jul  1 10:29:28 2015	Nokia108	-64
Wed Jul  1 10:29:39 2015	S5610	-76
Wed Jul  1 10:29:39 2015	edc	-64
Wed Jul  1 10:29:49 2015	Nokia108	-60
Wed Jul  1 10:30:00 2015	edc	-64
Wed Jul  1 10:30:10 2015	Nokia108	-64
Wed Jul  1 10:30:25 2015	Nokia108	-60
Wed Jul  1 10:30:25 2015	edc	-63
Wed Jul  1 10:30:25 2015	-77
Wed Jul  1 10:30:25 2015	S5610	-74
Wed Jul  1 10:30:36 2015	S5610	-80
Wed Jul  1 10:30:36 2015	Nokia108	-62
Wed Jul  1 10:30:51 2015	Nokia108	-67
Wed Jul  1 10:30:51 2015	-75
Wed Jul  1 10:30:51 2015	edc	-64
Wed Jul  1 10:30:51 2015	GX15	-72
Wed Jul  1 10:31:02 2015	Nokia108	-65
Wed Jul  1 10:31:02 2015	S5610	-64
Wed Jul  1 10:31:02 2015	GX15	-78
Wed Jul  1 10:31:12 2015	S5610	-72
Wed Jul  1 10:31:12 2015	edc	-64
Wed Jul  1 10:31:12 2015	Nokia108	-73
Wed Jul  1 10:31:22 2015	edc	-65
Wed Jul  1 10:31:22 2015	Nokia108	-74
Wed Jul  1 10:31:22 2015	J10i	-78
Wed Jul  1 10:31:33 2015	S5610	-72
Wed Jul  1 10:31:33 2015	J10i	-73
Wed Jul  1 10:31:33 2015	edc	-64
Wed Jul  1 10:31:43 2015	J10i	-68
Wed Jul  1 10:31:43 2015	edc	-65
Wed Jul  1 10:31:43 2015	Nokia108	-64
Wed Jul  1 10:31:53 2015	Nokia108	-71
Wed Jul  1 10:31:54 2015	J10i	-79
Wed Jul  1 10:31:54 2015	S5610	-73
Wed Jul  1 10:32:04 2015	Nokia108	-66
Wed Jul  1 10:32:04 2015	J10i	-74
Wed Jul  1 10:32:04 2015	edc	-66
Wed Jul  1 10:32:04 2015	GX15	-73
Wed Jul  1 10:32:14 2015	J10i	-74
Wed Jul  1 10:32:14 2015	Nokia108	-66
Wed Jul  1 10:32:14 2015	GX15	-74
Wed Jul  1 10:32:14 2015	edc	-64
Wed Jul  1 10:32:14 2015	S5610	-70
Wed Jul  1 10:32:25 2015	edc	-63
Wed Jul  1 10:32:25 2015	edc	-64
Wed Jul  1 10:32:35 2015	Nokia108	-66
Wed Jul  1 10:32:35 2015	S5610	-77
Wed Jul  1 10:32:35 2015	edc	-67
Wed Jul  1 10:32:45 2015	edc	-63
Wed Jul  1 10:32:45 2015	Nokia108	-65
Wed Jul  1 10:33:01 2015	edc	-65
Wed Jul  1 10:33:01 2015	edc	-63
Wed Jul  1 10:33:01 2015	Nokia108	-69
Wed Jul  1 10:33:01 2015	S5610	-66
Wed Jul  1 10:33:16 2015	-77
Wed Jul  1 10:33:16 2015	GX15	-63
Wed Jul  1 10:33:16 2015	Nokia108	-73
Wed Jul  1 10:33:16 2015	S5610	-59
Wed Jul  1 10:33:27 2015	S5610	-62
Wed Jul  1 10:33:27 2015	GX15	-67
Wed Jul  1 10:33:27 2015	Nokia108	-64
Wed Jul  1 10:33:37 2015	S5610	-61
Wed Jul  1 10:33:37 2015	edc	-65
Wed Jul  1 10:33:37 2015	Nokia108	-67
Wed Jul  1 10:33:37 2015	GX15	-63
Wed Jul  1 10:33:47 2015	Nokia108	-62
Wed Jul  1 10:33:47 2015	S5610	-61
Wed Jul  1 10:33:47 2015	edc	-64
Wed Jul  1 10:33:58 2015	S5610	-60
Wed Jul  1 10:33:58 2015	Nokia108	-61
Wed Jul  1 10:33:58 2015	GX15	-63
Wed Jul  1 10:34:08 2015	GX15	-64
Wed Jul  1 10:34:08 2015	edc	-65
Wed Jul  1 10:34:08 2015	S5610	-61
Wed Jul  1 10:34:18 2015	Nokia108	-68
Wed Jul  1 10:34:18 2015	S5610	-63
Wed Jul  1 10:34:18 2015	GX15	-79
