Date	Device	Signal
Wed Jul  1 11:31:19 2015	GX15	-73
Wed Jul  1 11:31:30 2015	Feild?s MacBook Pro	-72
Wed Jul  1 11:31:30 2015	Feild?s MacBook Pro	-67
Wed Jul  1 11:31:30 2015	S5610	-53
Wed Jul  1 11:31:40 2015	S5610	-55
Wed Jul  1 11:31:40 2015	GX15	-74
Wed Jul  1 11:31:40 2015	Feild?s MacBook Pro	-63
Wed Jul  1 11:31:50 2015	Apple Bluetooth Device	-80
Wed Jul  1 11:31:50 2015	Feild?s MacBook Pro	-63
Wed Jul  1 11:31:50 2015	Nokia108	-73
Wed Jul  1 11:32:27 2015	Feild?s MacBook Pro	-68
Wed Jul  1 11:32:27 2015	S5610	-58
Wed Jul  1 11:32:37 2015	Apple Bluetooth Device	-82
Wed Jul  1 11:32:37 2015	Nokia108	-77
Wed Jul  1 11:32:37 2015	S5610	-57
Wed Jul  1 11:32:37 2015	Feild?s MacBook Pro	-63
Wed Jul  1 11:32:48 2015	Nokia108	-71
Wed Jul  1 11:32:48 2015	GX15	-76
Wed Jul  1 11:32:48 2015	Apple Bluetooth Device	-82
Wed Jul  1 11:32:58 2015	Nokia108	-71
Wed Jul  1 11:32:58 2015	S5610	-53
Wed Jul  1 11:33:09 2015	S5610	-55
Wed Jul  1 11:33:09 2015	GX15	-73
Wed Jul  1 11:33:09 2015	Nokia108	-73
Wed Jul  1 11:33:24 2015	S5610	-49
Wed Jul  1 11:33:24 2015	Nokia108	-73
Wed Jul  1 11:33:24 2015	Apple Bluetooth Device	-79
Wed Jul  1 11:33:35 2015	Nokia108	-78
Wed Jul  1 11:33:35 2015	GX15	-66
Wed Jul  1 11:33:35 2015	S5610	-49
Wed Jul  1 11:33:35 2015	Apple Bluetooth Device	-78
Wed Jul  1 11:33:45 2015	Apple Bluetooth Device	-74
Wed Jul  1 11:33:45 2015	S5610	-54
Wed Jul  1 11:33:45 2015	Feild?s MacBook Pro	-71
Wed Jul  1 11:33:45 2015	Nokia108	-70
Wed Jul  1 11:33:56 2015	Feild?s MacBook Pro	-73
Wed Jul  1 11:33:56 2015	S5610	-64
Wed Jul  1 11:33:56 2015	GX15	-70
Wed Jul  1 11:33:56 2015	Nokia108	-77
Wed Jul  1 11:34:06 2015	GX15	-70
Wed Jul  1 11:34:06 2015	Apple Bluetooth Device	-79
Wed Jul  1 11:34:06 2015	S5610	-53
Wed Jul  1 11:34:06 2015	Nokia108	-67
Wed Jul  1 11:34:17 2015	S5610	-59
Wed Jul  1 11:34:17 2015	GX15	-73
Wed Jul  1 11:34:17 2015	Feild?s MacBook Pro	-65
Wed Jul  1 11:34:17 2015	Apple Bluetooth Device	-79
Wed Jul  1 11:34:27 2015	S5610	-61
Wed Jul  1 11:34:27 2015	Apple Bluetooth Device	-79
Wed Jul  1 11:34:27 2015	Nokia108	-75
Wed Jul  1 11:34:38 2015	S5610	-64
Wed Jul  1 11:34:38 2015	Nokia108	-72
Wed Jul  1 11:34:53 2015	GX15	-72
Wed Jul  1 11:34:53 2015	Nokia108	-78
Wed Jul  1 11:34:53 2015	edc	-80
Wed Jul  1 11:34:53 2015	Feild?s MacBook Pro	-79
Wed Jul  1 11:34:53 2015	S5610	-51
Wed Jul  1 11:35:04 2015	Nokia108	-73
Wed Jul  1 11:35:14 2015	S5610	-58
Wed Jul  1 11:35:14 2015	Nokia108	-79
Wed Jul  1 11:35:25 2015	S5610	-58
Wed Jul  1 11:35:25 2015	S5610	-64
Wed Jul  1 11:35:25 2015	Feild?s MacBook Pro	-64
Wed Jul  1 11:35:35 2015	edc	-77
Wed Jul  1 11:35:35 2015	S5610	-63
Wed Jul  1 11:35:35 2015	GX15	-68
Wed Jul  1 11:35:35 2015	Apple Bluetooth Device	-78
Wed Jul  1 11:35:35 2015	Nokia108	-73
Wed Jul  1 11:35:46 2015	S5610	-55
Wed Jul  1 11:35:46 2015	Feild?s MacBook Pro	-70
Wed Jul  1 11:35:46 2015	GX15	-73
Wed Jul  1 11:35:56 2015	Nokia108	-68
Wed Jul  1 11:35:56 2015	GX15	-71
Wed Jul  1 11:36:07 2015	GX15	-76
Wed Jul  1 11:36:07 2015	S5610	-55
Wed Jul  1 11:36:17 2015	GX15	-71
Wed Jul  1 11:36:17 2015	Feild?s MacBook Pro	-67
Wed Jul  1 11:36:17 2015	S5610	-59
Wed Jul  1 11:36:28 2015	S5610	-67
Wed Jul  1 11:36:28 2015	Feild?s MacBook Pro	-66
Wed Jul  1 11:36:28 2015	Nokia108	-68
Wed Jul  1 11:36:28 2015	Apple Bluetooth Device	-81
Wed Jul  1 11:36:28 2015	GX15	-72
Wed Jul  1 11:36:28 2015	edc	-79
Wed Jul  1 11:36:38 2015	S5610	-57
Wed Jul  1 11:36:38 2015	S5610	-61
Wed Jul  1 11:36:38 2015	Nokia108	-75
Wed Jul  1 11:36:38 2015	GX15	-75
Wed Jul  1 11:36:49 2015	Nokia108	-64
Wed Jul  1 11:36:49 2015	Feild?s MacBook Pro	-63
Wed Jul  1 11:36:49 2015	S5610	-58
Wed Jul  1 11:36:49 2015	GX15	-73
Wed Jul  1 11:36:59 2015	S5610	-56
Wed Jul  1 11:36:59 2015	GX15	-71
Wed Jul  1 11:37:10 2015	Feild?s MacBook Pro	-63
Wed Jul  1 11:37:20 2015	Feild?s MacBook Pro	-73
Wed Jul  1 11:37:20 2015	S5610	-55
Wed Jul  1 11:37:30 2015	S5610	-58
Wed Jul  1 11:37:30 2015	Feild?s MacBook Pro	-63
Wed Jul  1 11:37:30 2015	Nokia108	-70
Wed Jul  1 11:37:41 2015	Nokia108	-65
Wed Jul  1 11:37:41 2015	S5610	-52
Wed Jul  1 11:37:41 2015	GX15	-69
Wed Jul  1 11:37:51 2015	Feild?s MacBook Pro	-64
Wed Jul  1 11:37:51 2015	Nokia108	-64
Wed Jul  1 11:38:02 2015	Nokia108	-66
Wed Jul  1 11:38:13 2015	S5610	-58
Wed Jul  1 11:38:13 2015	Nokia108	-64
Wed Jul  1 11:38:13 2015	Feild?s MacBook Pro	-64
Wed Jul  1 11:38:23 2015	Nokia108	-62
Wed Jul  1 11:38:23 2015	Nokia108	-72
Wed Jul  1 11:38:23 2015	GX15	-63
Wed Jul  1 11:38:34 2015	Feild?s MacBook Pro	-72
Wed Jul  1 11:38:34 2015	edc	-80
Wed Jul  1 11:38:34 2015	Nokia108	-73
Wed Jul  1 11:38:34 2015	S5610	-62
Wed Jul  1 11:38:44 2015	S5610	-62
Wed Jul  1 11:38:44 2015	GX15	-75
Wed Jul  1 11:38:55 2015	Nokia108	-60
Wed Jul  1 11:38:55 2015	GX15	-72
Wed Jul  1 11:38:55 2015	S5610	-72
Wed Jul  1 11:38:55 2015	Feild?s MacBook Pro	-63
Wed Jul  1 11:39:05 2015	Nokia108	-65
Wed Jul  1 11:39:05 2015	Feild?s MacBook Pro	-68
Wed Jul  1 11:39:05 2015	S5610	-60
Wed Jul  1 11:39:16 2015	S5610	-66
Wed Jul  1 11:39:16 2015	Feild?s MacBook Pro	-64
Wed Jul  1 11:39:16 2015	GX15	-73
Wed Jul  1 11:39:16 2015	Feild?s MacBook Pro	-66
Wed Jul  1 11:39:16 2015	Nokia108	-65
Wed Jul  1 11:39:26 2015	Feild?s MacBook Pro	-73
Wed Jul  1 11:39:26 2015	GX15	-67
Wed Jul  1 11:39:26 2015	S5610	-63
Wed Jul  1 11:39:26 2015	Nokia108	-64
Wed Jul  1 11:39:37 2015	S5610	-61
Wed Jul  1 11:39:37 2015	Nokia108	-63
Wed Jul  1 11:39:37 2015	GX15	-66
Wed Jul  1 11:39:47 2015	Nokia108	-61
Wed Jul  1 11:39:47 2015	S5610	-61
Wed Jul  1 11:39:47 2015	Feild?s MacBook Pro	-73
Wed Jul  1 11:39:47 2015	GX15	-63
Wed Jul  1 11:39:47 2015	J10i	-75
Wed Jul  1 11:39:58 2015	S5610	-62
Wed Jul  1 11:39:58 2015	J10i	-69
Wed Jul  1 11:39:58 2015	GX15	-57
Wed Jul  1 11:39:58 2015	Feild?s MacBook Pro	-72
Wed Jul  1 11:39:58 2015	edc	-77
Wed Jul  1 11:39:58 2015	Nokia108	-62
Wed Jul  1 11:40:08 2015	Nokia108	-63
Wed Jul  1 11:40:08 2015	S5610	-61
Wed Jul  1 11:40:08 2015	GX15	-64
Wed Jul  1 11:40:08 2015	edc	-80
Wed Jul  1 11:40:08 2015	edc	-78
Wed Jul  1 11:40:08 2015	Manu ka Mac	-73
Wed Jul  1 11:40:08 2015	J10i	-79
Wed Jul  1 11:40:19 2015	GX15	-64
Wed Jul  1 11:40:19 2015	Nokia108	-57
Wed Jul  1 11:40:29 2015	S5610	-68
Wed Jul  1 11:40:29 2015	Feild?s MacBook Pro	-63
Wed Jul  1 11:40:29 2015	Nokia108	-67
Wed Jul  1 11:40:40 2015	S5610	-65
Wed Jul  1 11:40:40 2015	GX15	-72
Wed Jul  1 11:40:50 2015	Nokia108	-73
Wed Jul  1 11:40:50 2015	GX15	-62
Wed Jul  1 11:40:50 2015	Feild?s MacBook Pro	-73
Wed Jul  1 11:41:01 2015	Feild?s MacBook Pro	-65
Wed Jul  1 11:41:01 2015	S5610	-63
Wed Jul  1 11:41:01 2015	GX15	-64
Wed Jul  1 11:41:11 2015	GX15	-57
Wed Jul  1 11:41:11 2015	Nokia108	-67
Wed Jul  1 11:41:11 2015	Feild?s MacBook Pro	-59
